,corpus,val
0,but staff horrible u,0
1,completely fair redeeming factor food average but could not make deficiency teodora,0
2,go and not enjoy say not get,0
3,very overpriced and not very tasty,0
4,not mayonnaise forgot toast left ingredient (ie cheese omelet) hot temperature and bacon cooked crumbled plate touched,0
5,cannot help bought fast,0
6,eaten handful time no reason besides sheer convenience,0
7,very disappointed,0
8,money went interior decoration none went chef,0
9,seat uncomfortable sitting wall wooden bench,0
10,not back,0
11,not value joint,0
12,little rough delivery,0
13,price reasonable,0
14,service poor,0
15,roth's twice and time very disappointing,0
16,end left mild broth noodle slurp cup,0
17,hardly good thing present restaurant,0
18,but not come empty stomach,0
19,not wanted hear,0
20,not wow dining experience,0
21,menu very limited - think counted 4 5 entree,0
22,not crazy sake martini,0
23,service varys day day- sometimes not nice,0
24,unfortunately food outstanding but everything else restaurant pit,0
25,beef well done and dry,0
26,ordered special grilled branzino infused bone difficult eat,0
27,I never treated rudely,0
28,also ordered delivery and restaurant forgot half order,0
29,server checked u maybe twice entire meal,0
30,strong scent coming left and right negatively affected taste bud,0
31,stalling could understand coming but le hour and not even brought u check yet,0
32,tried make reservation but time hostess not name,0
33,restaurant used pretty decent,0
34,tiny and felt like eating someone's living room,0
35,terrible service bland food not mention unaccommodating manager overall experience horrible,0
36,last time went seated table corridor next kitchen,0
37,not impressed food,0
38,yes use fancy ingredient but even fancy ingredient not make good pizza unless someone know get crust right,0
39,looking outside one would hesitate enter hole wall (really is),0
40,food average and creme brulee awful - sugar charred not caramelized and smelled kerosene,0
41,entire family horrified,0
42,but forgotten important part restaurant food,0
43,should done back room - away customer,0
44,glad luxury throw paying customer,0
45,first waitress completely unattentive 2 time saw her(odd restaurant 6 tables) and got order wrong,0
46,not go,0
47,food bland oily,0
48,fried platter greasy,0
49,look dont know people wrote review ever decent place (please try someother places),0
50,went mommy (the person could afford taking here),0
51,last time went waitress not come back taking order,0
52,completely hooked place ridiculous,0
53,eating atmosphere save but desk very disappointing experience,0
54,not,0
55,(la rosa connected swinging door mexican restaurant pacifico),0
56,could handled better,0
57,environment romantic but food horrible service pathetic and gabriella lie everything could,0
58,came table burned beyond recognition and stringy,0
59,pad thai and noodle sticky,0
60,hostess rude point offensive,0
61,narrow corridor lead tiny space three tiny white tiled counter great deal mess (stacks bottle cans) and small counter holding 12-14 entree,0
62,would rather tried terrace sky water club price,0
63,okay service,0
64,food awful atrocious actually,0
65,never visit restaurant,0
66,not go,0
67,ok server wander around little clueless but enough server crowd get -- fine make small effort get attention,0
68,good luck getting table,0
69,service awful,0
70,ignore trendy wannabe,0
71,amma worst value money experienced nyc past 2 year,0
72,think would pretty good spot not overpriced and overrated,0
73,place would better staff changed,0
74,walk-in risky,0
75,not give u dinner special asked,0
76,annoying thing though fact server seem trained drive revenue,0
77,still sitting bar drank sangria but facing away bar turned back around $2 gone people next u said bartender took,0
78,got one overrated restaurant brooklyn,0
79,went last night 2 year anniversery and not impressed,0
80,rather pathetic took hour seat u,0
81,seated promptly reservation however service slow,0
82,first slightly skeptical sushi restaurant middle nyc,0
83,however not worth special trip,0
84,but nothing stand cooking,0
85,problem go mcdonald's and destroy inside,0
86,egg benedict brunch worst entire life tried removing hollondaise sauce completely failed,0
87,bad food not heritage,0
88,I not picky - but actually gross,0
89,finally unable make gin and tonic -- could not find tonic,0
90,dim sum ok but not taste fresh and little dish not look steamy hot should (also note lack chinese here),0
91,despite untasteful previous review,0
92,not judge place prima facie try believe home away home literate heart,0
93,also $15 very pricey,0
94,want good authentic thai place not place go,0
95,want good authentic food place not place go,0
96,somewhat pricey but heck,0
97,true place not cheap,0
98,noise level unbearable conversation impossible,0
99,stumbled leon thought found quite gem but certainly wrong,0
100,instead wasting time here: support restaurant care food,0
101,head and shoulder neighboors east 6 st taj mahal also very comparable food quality much overpraised (and underdeserving) baluchi's,0
102,man hosting promised save table party 7 sat party 2 very table saving (mean boths open around),0
103,sitting eating subpar food manager proceeded berate couple employee putting wrong container condiment and explained expensive container,0
104,david daytona beach fl must visit,0
105,ordered tuna melt - came without cheese made tuna sandwich,0
106,waiter not attentive except bill turned table finished,0
107,generally like good restaurant and eat often but kai way expensive got,0
108,not eat unless starving thai food and work next door,0
109,people want great food plus great service roxy place avoid,0
110,quite frankly worst sushi ever tried,0
111,overall price tag very very expensive something expect,0
112,even overcharged last time,0
113,fish overdone,0
114,also make sure pay attention music piped - quite weird selection,0
115,could get much better dining experience amount money lot french bistro,0
116,surprisingly nothing could truth,0
117,better roof sutton place 19 year old intern jabbing rib night,0
118,received apology left see show without dinner,0
119,table next u asked crushed grape long overdue bottle wine finally arrived,0
120,could not catch waiter's eye and ignored u,0
121,plain and simple bad thai food,0
122,refuse seat party 3 weekend,0
123,waitress seems concerned looking good actually waitressing,0
124,disaster,0
125,threw fiance's surprise 30th birthday dinner could not happier,0
126,reason seafood menu unavailable except salmon,0
127,hostess and waitress incredibly rude and everything could rush u,0
128,next time would not dare ordering anything else simple asian appetizer and drink,0
129,lazy folk not want come alphabet city say good - stay,0
130,otherwise place great service and price and nice friendly atmosphere,0
131,place would much better served run group actually understands customer service,0
132,fourth try two year period and I done,0
133,probably would not go,0
134,would not even complained food least tasted good but quality food crappy,0
135,next hour and half stood crowded lobby area touristy restaurant listening type explanation not seated,0
136,$600 ( ever paid) not even waving magic wand ever get u back repeat performance,0
137,horrible,0
138,terrible terrible management - deserves shut-down,0
139,italian food flavor (that sort surprising ues) and service turn nightmare attentive sort remind ny yankee late 90's no matter bad look knew rally around corner,0
140,came restaurant expecting surprised but left bored and overcharged,0
141,really though seasoning?,0
142,thick and slightly soggy,0
143,maybe unintentional mistake but I experienced restaurant not appreciate practice,0
144,offer subpar service and no personality,0
145,diner food bistro price bummer,0
146,thoroughly enjoyed food annoying scream across table conversation,0
147,place not,0
148,first place *not* romantic claimed citysearch's editorial review,0
149,food not very tasty portioins tiny even high quality restaurant,0
150,others go restaurant and feel sad eaten,0
151,big and gawky outside,0
152,not recommend lunch special tasts regular chinese restaurant,0
153,searching really hard restaurant new york could really feel unwanted and ignored and finally found,0
154,definately not place go want impress someone,0
155,well delivery take ever and food usually cold,0
156,ordered smoked salmon and roe appetizer and flavor,0
157,food lousy - sweet salty and portion tiny,0
158,took 25 minute bring appetizer,0
159,anyway last time cross williamsburg,0
160,but big bun,0
161,tips: skip turnip cake roast pork bun and egg custard,0
162,oh yes and lie phone claiming seating garden course seat not available,0
163,anybody like place must different planet greasy dry and tasteless complimentary,0
164,calzones horrific bad vomit-inducing yuck,0
165,take forever get drink and almost always forget bring something (although dont forget charge,0
166,first waiter served u neglected fill u special would chosen known,0
167,back-to-back diner table behind and wait staff hoist tray head squeezed past u and,0
168,food terrible and overall would say avoid cost,0
169,unfortunately food not something get worked,0
170,asked open faced cheese sandwich and manager basically told take business elsewhere,0
171,not mind noise go chart house,0
172,happens ask real naan,0
173,fan half-price saturday night option inedible squid recent visit,0
174,yo really not care sittingnext 2 inch away would say try,0
175,left never return,0
176,no apology restaurant week,0
177,food reliable and price moderate,0
178,aside bearded courdoroy blazer professor type nyu student sleeping week see strange mix hipster frat boy smith type need told black bitter cougar cant understand arent married yet,0
179,dont place still running,0
180,share table loud group kid and service rude unattentive,0
181,told wait twenty minute and would no problem 8:00 pm curtain call,0
182,not mind-blowing but thai food never and never,0
183,even though little loud not yell talk,0
184,surprisingly disappointed,0
185,sushi awful,0
186,plain pizza soggy and creative wild mushroom(third generation-fornini) pizza drenched truffle oil middle( making soggy) and nothingon rest,0
187,late nite omelletes not good no variety,0
188,everything sala thai tasty and well-portioned,0
189,complained small tip,0
190,delivered would make mint,0
191,went wife and wait table even though could see many empty not reservation sigh,0
192,really disappointed ant wanted tell everyone not go eat even take food,0
193,website and rating make place look wonderful but reality very disappointing,0
194,definitely would not go back,0
195,not worth buck,0
196,oh not even let start expensive bill,0
197,scallion pancake and fried dumpling nothing ordinary,0
198,besides table promised given restaurant patron twice actually seated served dish not ordered three time received one order 20 minute rest table served (and order undercooked) and charged $45 should bill,0
199,food inconsistent,0
200,octopus eater floored octopus salad,0
201,thought place using much msg cooking food,0
202,and tom kha soup pathetic,0
203,tends turn people away,0
204,drawbacks: service slow and not toast,0
205,everytime decide try another place ues get angry not go zucchero pomodori,0
206,going since opened seen quality value decrease considerably,0
207,never anything not like,0
208,not break bank but also wouldnt come back food,0
209,I joya twice and never go,0
210,rushing u absolutely unnecessary,0
211,no refill fountain drink though,0
212,crowded and loud cannot even talk person next,0
213,ruby foo's tourist trap,0
214,I couple time and not impressed,0
215,like saying bread come special bakery seen buying dowtown manhathan,0
216,not go place good meal,0
217,treated attitude ever since moment stepped restaurant,0
218,but not ever order bacon late nite (either platter sandwich matter not take place) morning frying turn hard almost like bacos hurt molar,0
219,town worth searching another place,0
220,restaurant not worth time effort money say least,0
221,planning get dessert but waitress basically bill u chance order,0
222,really really bad,0
223,came cooked and cheese almost non existant,0
224,usually go later night get work not deal crowd line,0
225,2 try waiter take away (we not even looked yet full beer yet drink) manager approached and told u needed table people reservation,0
226,would not recomend dinner,0
227,sauce watery and food not much flavor,0
228,first wrong bread came appetizer tried order second glass wine main course,0
229,make reservation but expect delayed 15-20 minute hosting staff difficulty seating guest arrived reservation probably lot walk in close time square,0
230,also little expensive average bagel place,0
231,food undercooked-the sauce watery and vegetable raw,0
232,sauce used also not exciting,0
