food,service,ambiance,pricing,hygiene,miscelleanous
"""despicable""","""server""","""setting""","""saving""","""cleanliness""","""neighbourhood"""
"""Lobster Bisque""","""customer service""","""style""","""charge""","""bathroom""","""parking"""
"""green Bean""","""workers""","""vibe""","""charges""","""bathrooms""","""enjoy"""
"""eggplant""","""seating""","""quality""","""discounts""","""toilet""","""fun"""
"""stir fry""","""long time""","""atmosphere""","""saved""","""toilets""","""location"""
"""tacos""","""check""","""friendly""","""money""","""sanitization""","""recommend"""
"""beans""","""late""","""seating""","""overpriced""","""hygiene""","""convenience"""
"""rice""","""caring""","""vibe""","""pricey""","""dirty""","""delivery"""
"""halibut""","""teamwork""","""atmosphere""","""portions""","""neat""","""concept"""
"""Starving""","""judge""","""experience""","""affordable""","""trippy""",
"""buffet""","""waitress""","""place""","""price""","""clean""",
"""pizza""","""waiter""","""ambiance""","""prices""","""bare hands""",
"""dish""","""manager""","""decor""","""cost""","""no gloves""",
"""Buldogis Gourmet Hot Dog""","""under-services""","""decoration""","""charge""","""smell""",
"""ice tea""","""quality""","""tables""","""charges""","""sewer""",
"""eating""","""staff""","""plates""","""expense""","""dirt""",
"""texture""","""attitude""","""music""","""discount""",,
"""taste""","""compliment""","""music""","""discounts""",,
"""biscuits""","""cashier""","""interior""","""money""",,
"""biscuit""","""hostess""","""plates""","""coupons""",,
"""spicy""","""service""","""sound""","""coupon""",,
"""delicious""","""waitress""","""look""","""cheque""",,
"""dinner""","""waitresses""","""seating""","""bill""",,
"""breakfast""","""waiters""","""joint""","""value""",,
"""lunch""","""staff""","""spot""","""inexpensive""",,
"""tasteless""","""waiter""","""patio""","""savings""",,
"""tasty""","""chef""","""floor""","""expensive""",,
"""spicier""","""cashier""","""flooring""",,,
"""cooked""","""signs""","""ceiling""",,,
"""chickens""","""server""","""painting""",,,
"""vanilla""","""attitude""","""paintings""",,,
"""ice-cream""","""management""","""lighting""",,,
"""smoothy""","""valet""","""lights""",,,
"""pastry""","""security""","""experience""",,,
"""fresh""","""menu""","""tiles""",,,
"""sandwich""","""variety""","""tiling""",,,
"""seafood""","""options""","""structure""",,,
"""pancake""","""greet""","""screening""",,,
"""crawlfish""","""greets""","""live tv""",,,
"""chickenfried""","""greeting""","""tv""",,,
"""cheesecurds""","""greetings""","""television""",,,
"""meal""","""welcome""","""setting""",,,
"""burgers""","""pleasentries""","""song""",,,
"""mexican food""","""pleasant""","""songs""",,,
"""Hawaiian Breeze""","""fast""","""seats""",,,
"""Mango Magic """,,"""seat""",,,
"""Pineapple Delight""",,"""wall""",,,
"""chips""",,"""walls""",,,
"""beer""",,"""romatic""",,,
"""wines""",,"""cozy""",,,
"""wine""",,"""ambience""",,,
"""fries""",,"""entrance""",,,
"""idli""",,,,,
"""dosas""",,,,,
"""bhajis""",,,,,
"""butter-naan""",,,,,
"""milk""",,,,,
"""brownie""",,,,,
"""vada-pav""",,,,,
"""samosas""",,,,,
"""sambhar""",,,,,
"""italian""",,,,,
"""chinese""",,,,,
"""crust""",,,,,
"""texture""",,,,,
"""potatoes""",,,,,
"""fries""",,,,,
"""ravoli""",,,,,
"""chicken""",,,,,
"""food""",,,,,
"""cranberry""",,,,,
