reviews,Rating
But the staff was so horrible to us.,0
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",0
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",1
Where Gabriela personaly greets you and recommends you what to eat.,1
"For those that go once and don't enjoy it, all I can say is that they just don't get it.",0
"Not only was the food outstanding, but the little 'perks' were great.",1
It is very overpriced and not very tasty.,0
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,1
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",1
Nevertheless the food itself is pretty good.,1
"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.",1
"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",0
"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",1
The design and atmosphere is just as good.,1
He has visited Thailand and is quite expert on the cuisine.,1
I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,1
The pizza is the best if you like thin crusted pizza.,1
My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,1
"He can't help, they're bought up so fast.",0
"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",1
"i have eaten here a handful of times, for no reason besides sheer convenience.",0
We were very disappointed.,0
IT IS DEFINITELY SPECIAL AND AFFORDABLE.,1
I really liked this place.,1
I will be going back very soon.,1
"All the money went into the interior decoration, none of it went to the chefs.",0
The seats are uncomfortable if you are sitting against the wall on wooden benches.,0
It was pretty inexpensive too.,1
Will not be back.,0
"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",1
My suggestion is to eat family style because you'll want to try the other dishes.,1
"Best of all is the warm vibe, the owner is super friendly and service is fast.",1
This isn't a value joint.,0
Faan's got a great concept.,1
A little rough on delivery,0
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",1
"Great food at REASONABLE prices, makes for an evening that can't be beat!",1
Look foward to trying the Ruben upon returning.,1
The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,1
We usually go to the Chart House to celebrate a birthday or anniversary.,1
this little place has a cute interior decor and affordable city prices.,1
You'll adore it.,1
Two words: Free wine.,1
The price is reasonable,0
The service is poor,0
"The quantity is also very good, you will come out satisfied.",1
I have been to Roth's twice and both times were very disappointing.,0
Worth visiting the 1st Ave spot because it is the original store.,1
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",1
"Raga's is a romantic, cozy restaurant.",1
The fried rice is amazing here.,1
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",1
it's a perfect place to have a amazing indian food.,1
The place is so cool and the service is prompt and curtious.,1
At the end you're left with a mild broth with noodles that you can slurp out of a cup.,0
