,reviews,rating,remove_lower_punct,tokenise,changed,lemmatise
0,But the staff was so horrible to us.,0,but the staff was so horrible to us,"['but', 'the', 'staff', 'was', 'so', 'horrible', 'to', 'us']",but staff horrible u,but staff horrible u
1,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",0,to be completely fair  the only redeeming factor was the food  which was above average  but couldn't make up for all the other deficiencies of teodora,"['to', 'be', 'completely', 'fair', 'the', 'only', 'redeeming', 'factor', 'was', 'the', 'food', 'which', 'was', 'above', 'average', 'but', ""couldn't"", 'make', 'up', 'for', 'all', 'the', 'other', 'deficiencies', 'of', 'teodora']",completely fair redeeming factor food average but could not make deficiency teodora,completely fair redeeming factor food average but could not make deficiency teodora
2,"For those that go once and don't enjoy it, all I can say is that they just don't get it.",0,for those that go once and don't enjoy it  all i can say is that they just don't get it,"['for', 'those', 'that', 'go', 'once', 'and', ""don't"", 'enjoy', 'it', 'all', 'i', 'can', 'say', 'is', 'that', 'they', 'just', ""don't"", 'get', 'it']",go and not enjoy say not get,go and not enjoy say not get
3,It is very overpriced and not very tasty.,0,it is very overpriced and not very tasty,"['it', 'is', 'very', 'overpriced', 'and', 'not', 'very', 'tasty']",very overpriced and not very tasty,very overpriced and not very tasty
4,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",0,they did not have mayonnaise  forgot our toast  left out ingredients (ie cheese in an omelet)  below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it,"['they', 'did', 'not', 'have', 'mayonnaise', 'forgot', 'our', 'toast', 'left', 'out', 'ingredients', '(ie', 'cheese', 'in', 'an', 'omelet)', 'below', 'hot', 'temperatures', 'and', 'the', 'bacon', 'was', 'so', 'over', 'cooked', 'it', 'crumbled', 'on', 'the', 'plate', 'when', 'you', 'touched', 'it']",not mayonnaise forgot toast left ingredient (ie cheese omelet) hot temperature and bacon cooked crumbled plate touched,not mayonnaise forgot toast left ingredient (ie cheese omelet) hot temperature and bacon cooked crumbled plate touched
5,"He can't help, they're bought up so fast.",0,he can't help  they're bought up so fast,"['he', ""can't"", 'help', ""they're"", 'bought', 'up', 'so', 'fast']",cannot help bought fast,cannot help bought fast
6,"i have eaten here a handful of times, for no reason besides sheer convenience.",0,i have eaten here a handful of times  for no reason besides sheer convenience,"['i', 'have', 'eaten', 'here', 'a', 'handful', 'of', 'times', 'for', 'no', 'reason', 'besides', 'sheer', 'convenience']",eaten handful time no reason besides sheer convenience,eaten handful time no reason besides sheer convenience
7,We were very disappointed.,0,we were very disappointed,"['we', 'were', 'very', 'disappointed']",very disappointed,very disappointed
8,"All the money went into the interior decoration, none of it went to the chefs.",0,all the money went into the interior decoration  none of it went to the chefs,"['all', 'the', 'money', 'went', 'into', 'the', 'interior', 'decoration', 'none', 'of', 'it', 'went', 'to', 'the', 'chefs']",money went interior decoration none went chef,money went interior decoration none went chef
9,The seats are uncomfortable if you are sitting against the wall on wooden benches.,0,the seats are uncomfortable if you are sitting against the wall on wooden benches,"['the', 'seats', 'are', 'uncomfortable', 'if', 'you', 'are', 'sitting', 'against', 'the', 'wall', 'on', 'wooden', 'benches']",seat uncomfortable sitting wall wooden bench,seat uncomfortable sitting wall wooden bench
10,Will not be back.,0,will not be back,"['will', 'not', 'be', 'back']",not back,not back
11,This isn't a value joint.,0,this isn't a value joint,"['this', ""isn't"", 'a', 'value', 'joint']",not value joint,not value joint
12,A little rough on delivery,0,a little rough on delivery,"['a', 'little', 'rough', 'on', 'delivery']",little rough delivery,little rough delivery
13,The price is reasonable,0,the price is reasonable,"['the', 'price', 'is', 'reasonable']",price reasonable,price reasonable
14,The service is poor,0,the service is poor,"['the', 'service', 'is', 'poor']",service poor,service poor
15,I have been to Roth's twice and both times were very disappointing.,0,i have been to roth's twice and both times were very disappointing,"['i', 'have', 'been', 'to', ""roth's"", 'twice', 'and', 'both', 'times', 'were', 'very', 'disappointing']",roth's twice and time very disappointing,roth's twice and time very disappointing
16,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,0,at the end you're left with a mild broth with noodles that you can slurp out of a cup,"['at', 'the', 'end', ""you're"", 'left', 'with', 'a', 'mild', 'broth', 'with', 'noodles', 'that', 'you', 'can', 'slurp', 'out', 'of', 'a', 'cup']",end left mild broth noodle slurp cup,end left mild broth noodle slurp cup
17,There was hardly any good thing present at the restaurant,0,there was hardly any good thing present at the restaurant,"['there', 'was', 'hardly', 'any', 'good', 'thing', 'present', 'at', 'the', 'restaurant']",hardly good thing present restaurant,hardly good thing present restaurant
18,but do not come here on a empty stomach.,0,but do not come here on a empty stomach,"['but', 'do', 'not', 'come', 'here', 'on', 'a', 'empty', 'stomach']",but not come empty stomach,but not come empty stomach
19,Not what I wanted to hear.,0,not what i wanted to hear,"['not', 'what', 'i', 'wanted', 'to', 'hear']",not wanted hear,not wanted hear
20,Not for an all out wow dining experience.,0,not for an all out wow dining experience,"['not', 'for', 'an', 'all', 'out', 'wow', 'dining', 'experience']",not wow dining experience,not wow dining experience
21,The menu is very limited - i think we counted 4 or 5 entrees.,0,the menu is very limited - i think we counted 4 or 5 entrees,"['the', 'menu', 'is', 'very', 'limited', '-', 'i', 'think', 'we', 'counted', '4', 'or', '5', 'entrees']",menu very limited - think counted 4 5 entree,menu very limited - think counted 4 5 entree
22,Not too crazy about their sake martini.,0,not too crazy about their sake martini,"['not', 'too', 'crazy', 'about', 'their', 'sake', 'martini']",not crazy sake martini,not crazy sake martini
23,The service varys from day to day- sometimes they are not nice,0,the service varys from day to day- sometimes they are not nice,"['the', 'service', 'varys', 'from', 'day', 'to', 'day-', 'sometimes', 'they', 'are', 'not', 'nice']",service varys day day- sometimes not nice,service varys day day- sometimes not nice
24,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",0,unfortunately  the food is outstanding  but everything else about this restaurant is the pits,"['unfortunately', 'the', 'food', 'is', 'outstanding', 'but', 'everything', 'else', 'about', 'this', 'restaurant', 'is', 'the', 'pits']",unfortunately food outstanding but everything else restaurant pit,unfortunately food outstanding but everything else restaurant pit
25,my beef was well done and dry.,0,my beef was well done and dry,"['my', 'beef', 'was', 'well', 'done', 'and', 'dry']",beef well done and dry,beef well done and dry
26,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",0,we ordered the special  grilled branzino  that was so infused with bone  it was difficult to eat,"['we', 'ordered', 'the', 'special', 'grilled', 'branzino', 'that', 'was', 'so', 'infused', 'with', 'bone', 'it', 'was', 'difficult', 'to', 'eat']",ordered special grilled branzino infused bone difficult eat,ordered special grilled branzino infused bone difficult eat
27,I've never been treated so rudely.,0,i've never been treated so rudely,"[""i've"", 'never', 'been', 'treated', 'so', 'rudely']",I never treated rudely,I never treated rudely
28,I also ordered for delivery and the restaurant forgot half the order.,0,i also ordered for delivery and the restaurant forgot half the order,"['i', 'also', 'ordered', 'for', 'delivery', 'and', 'the', 'restaurant', 'forgot', 'half', 'the', 'order']",also ordered delivery and restaurant forgot half order,also ordered delivery and restaurant forgot half order
29,Our server checked on us maybe twice during the entire meal.,0,our server checked on us maybe twice during the entire meal,"['our', 'server', 'checked', 'on', 'us', 'maybe', 'twice', 'during', 'the', 'entire', 'meal']",server checked u maybe twice entire meal,server checked u maybe twice entire meal
30,The strong scents coming from the left and right of me negatively affected my taste buds.,0,the strong scents coming from the left and right of me negatively affected my taste buds,"['the', 'strong', 'scents', 'coming', 'from', 'the', 'left', 'and', 'right', 'of', 'me', 'negatively', 'affected', 'my', 'taste', 'buds']",strong scent coming left and right negatively affected taste bud,strong scent coming left and right negatively affected taste bud
31,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",0,had we been stalling i could understand where they were coming from  but we had been there less than an hour and they hadn't even brought us a check yet,"['had', 'we', 'been', 'stalling', 'i', 'could', 'understand', 'where', 'they', 'were', 'coming', 'from', 'but', 'we', 'had', 'been', 'there', 'less', 'than', 'an', 'hour', 'and', 'they', ""hadn't"", 'even', 'brought', 'us', 'a', 'check', 'yet']",stalling could understand coming but le hour and not even brought u check yet,stalling could understand coming but le hour and not even brought u check yet
32,"I have tried to make reservations, but both times, the hostess didn't have my name.",0,i have tried to make reservations  but both times  the hostess didn't have my name,"['i', 'have', 'tried', 'to', 'make', 'reservations', 'but', 'both', 'times', 'the', 'hostess', ""didn't"", 'have', 'my', 'name']",tried make reservation but time hostess not name,tried make reservation but time hostess not name
33,This restaurant used to be pretty decent.,0,this restaurant used to be pretty decent,"['this', 'restaurant', 'used', 'to', 'be', 'pretty', 'decent']",restaurant used pretty decent,restaurant used pretty decent
34,It was tiny and I felt like I was eating in someone's living room.,0,it was tiny and i felt like i was eating in someone's living room,"['it', 'was', 'tiny', 'and', 'i', 'felt', 'like', 'i', 'was', 'eating', 'in', ""someone's"", 'living', 'room']",tiny and felt like eating someone's living room,tiny and felt like eating someone's living room
35,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",0,from the terrible service  to the bland food  not to mention the unaccommodating managers  the overall experience was horrible,"['from', 'the', 'terrible', 'service', 'to', 'the', 'bland', 'food', 'not', 'to', 'mention', 'the', 'unaccommodating', 'managers', 'the', 'overall', 'experience', 'was', 'horrible']",terrible service bland food not mention unaccommodating manager overall experience horrible,terrible service bland food not mention unaccommodating manager overall experience horrible
36,The last time I went we were seated at a table in a corridor next to the kitchen.,0,the last time i went we were seated at a table in a corridor next to the kitchen,"['the', 'last', 'time', 'i', 'went', 'we', 'were', 'seated', 'at', 'a', 'table', 'in', 'a', 'corridor', 'next', 'to', 'the', 'kitchen']",last time went seated table corridor next kitchen,last time went seated table corridor next kitchen
37,Not impressed with the food.,0,not impressed with the food,"['not', 'impressed', 'with', 'the', 'food']",not impressed food,not impressed food
38,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",0,yes  they use fancy ingredients  but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right,"['yes', 'they', 'use', 'fancy', 'ingredients', 'but', 'even', 'fancy', 'ingredients', ""don't"", 'make', 'for', 'good', 'pizza', 'unless', 'someone', 'knows', 'how', 'to', 'get', 'the', 'crust', 'right']",yes use fancy ingredient but even fancy ingredient not make good pizza unless someone know get crust right,yes use fancy ingredient but even fancy ingredient not make good pizza unless someone know get crust right
39,"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).",0,looking from the outside in  one would hesitate to enter this hole in the wall (really  that's what it is),"['looking', 'from', 'the', 'outside', 'in', 'one', 'would', 'hesitate', 'to', 'enter', 'this', 'hole', 'in', 'the', 'wall', '(really', ""that's"", 'what', 'it', 'is)']",looking outside one would hesitate enter hole wall (really is),looking outside one would hesitate enter hole wall (really is)
